,lat,lng
60525345,-3.7684496,-38.5892523
62280000,,
60355780,-3.731263,-38.5731681
60110540,-3.7457051,-38.5210927
63590000,,
60530730,-3.7738104,-38.6126299
60150190,-7.228022,-39.4212746
60440134,-3.7513426,-38.5613805
60430230,-3.7491499,-38.5546623
62022445,-3.7599474,-38.446415
63640000,,
63400000,,
62250000,,
60332700,-3.6967085,-38.5836733
60440602,-3.7415806,-38.5577117
60510450,-3.754485,-38.5808553
63020622,,
60750270,-3.8578571,-38.4833603
62955000,,
60340190,-3.7188926,-38.5799718
60867300,-3.8079969,-38.5063057
62297000,,
61925470,-3.8543972,-38.5963935
60731716,-3.7083273,-38.6027292
60822395,-3.8139009,-38.4828938
60720350,-3.7743029,-38.5696492
63800000,,
60740100,-3.4834964,-39.5721548
63570000,,
60745200,-3.8149238,-38.5802688
63122445,-7.2287998,-39.3721846
60836015,-3.7278956,-38.466891
63660000,,
63475000,,
60325110,-3.7321299,-38.5547349
62050060,,
60842250,-3.8192869,-38.5011455
60811450,,
62738000,,
61925560,,
60731455,-3.8107022,-38.6038863
61940005,,
62350000,,
62870000,,
62115000,,
62031010,-3.8125051,-38.569461
60760160,-3.8388549,-38.564536
63050380,-7.2375419,-39.4103059
62365000,,
61949100,-3.9217074,-38.6919612
60348400,-3.880375,-38.6088672
60742140,-3.7843126,-38.5419436
60866340,-3.837252,-38.5228949
60765065,-3.8349046,-38.5848663
60332490,-3.6996397,-38.5811994
60191667,,
48601480,-15.1155618,-40.0682045
62598000,,
60873652,-3.8454811,-38.4927991
63540970,-6.7876676,-39.2932214
62850000,,
60320280,-3.7233037,-38.5630374
60050041,-3.7374572,-38.5286459
60351760,-16.6086027,-49.318199
60510121,-3.8315032,-38.5739922
63010540,,
62230000,,
62270000,,
60871170,-3.8345182,-38.4885024
61605305,-3.7223839,-38.5299415573958
60337160,-3.7124845,-38.5648238
60330705,-3.7156884,-38.5837331
62930000,,
62650000,,
60766125,-3.8231905,-38.5764677
60425812,-3.7468221,-38.5443758
63870000,,
62160000,,
62570000,,
61610170,-3.7285971,-38.6490479
61760000,,
62823000,,
62740000,,
62508000,,
60442242,,
60335080,-3.7076352,-38.5618275
60350750,-3.7293141,-38.587224
62150000,,
63490000,,
60511755,,
60810225,,
