,lat,lng,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
36088000,-21.7093678,-43.4337948,Santa Cruz,36088000,Juiz de Fora,- de 801/802 ao fim,Avenida Doutor Simeão de Faria,MG,[]
13560181,-21.4772628,-47.362953,Centro,13560181,São Carlos,- de 2222/2223 a 3220/3221,Rua Sete de Setembro,SP,[]
32140570,-19.9017083,-44.0282623,Novo Progresso,32140570,Contagem,,Rua Miguel Burnier,MG,[]
28630440,-22.4656841,-44.4613273,São Geraldo,28630440,Nova Friburgo,,Travessa Riachuelo,RJ,[]
74320090,-16.5811567,-50.3026779,Vila Lucy,74320090,Goiânia,,Rua E3,GO,[]
60766280,-3.8076284,-38.4578523,Planalto Ayrton Senna,60766280,Fortaleza,,Rua Paraíso,CE,[]
17513510,-13.149334,-41.7797002,Villa Flora,17513510,Marília,,Rua Manoel Martins Seabra,SP,[]
55021250,-8.2788078,-35.9533401,Cidade Jardim,55021250,Caruaru,,Rua José Vieira de Lima,PE,[]
21020190,-22.8329542,-43.2765636,Penha,21020190,Rio de Janeiro,,Rua Conde de Agrolongo,RJ,[]
05271120,-23.4270191,-46.7944821,Jardim Santa Fé (Zona Oeste),05271120,São Paulo,,Rua Ricardo Dalton,SP,[]
13058512,-22.9488679,-47.1894319,Parque Valença I,13058512,Campinas,,Rua Manoel Marques Lopes,SP,[]
60713440,-3.8099493,-38.5281967,Manuel Sátiro,60713440,Fortaleza,,Rua Delta,CE,[]
61936210,,,Timbó,61936210,Maracanaú,,Avenida José de Deus Alves Feitosa,CE,[]
69042075,-3.0792282,-60.0564416,Alvorada,69042075,Manaus,,Rua Umari,AM,[]
35157000,,,,,,,,,[]
91760400,-30.1351163,-51.2278851,Ipanema,91760400,Porto Alegre,,Avenida Imperial,RS,[]
05367140,,,Jardim Esmeralda,05367140,São Paulo,,Rua Arthur Soter Lopes da Silva,SP,[]
02945150,-23.4823047,-46.728321,Jardim Cidade Pirituba,02945150,São Paulo,,Rua Estado de Rondônia,SP,[]
11390300,-23.9390797,-46.3871632,Catiapoa,11390300,São Vicente,,Rua Tenente Durval do Amaral,SP,[]
21230040,-22.8267421,-43.3315417,Irajá,21230040,Rio de Janeiro,,Rua Horácio Wells,RJ,[]
28030255,-21.759796,-41.3435884,Parque São Caetano,28030255,Campos dos Goytacazes,,Rua Operários Campistas,RJ,[]
24431490,-22.8644795,-43.0931589,Paraíso,24431490,São Gonçalo,,Travessa Lourdes,RJ,[]
89809830,-27.0985679,-52.6886281,Efapi,89809830,Chapecó,,Rua Augustinho Brighenti,SC,[]
81825255,,,Pinheirinho,81825255,Curitiba,,Rua Maria Efigênio Inácio,PR,[]
79640612,-18.486517,-54.7324536,Novo Oeste,79640612,Três Lagoas,,Rua Faveiro,MS,[]
19904570,-23.6351239,-46.7781707,Parque Pacheco Chaves,19904570,Ourinhos,,Rua Vitório Bianchi,SP,[]
91540130,-29.7670163,-51.0957951,Lomba do Pinheiro,91540130,Porto Alegre,,Rua Zaire,RS,[]
21941490,-22.3290841,-41.7632823,Galeão,21941490,Rio de Janeiro,(Vl Jauniza),Rua Trinca Ferro,RJ,[]
79002185,-20.4406393,-54.8672497,Centro,79002185,Campo Grande,- de 907 a 1397 - lado ímpar,Rua Dom Aquino,MS,[]
18600110,-22.8911961,-48.4402584,Centro,18600110,Botucatu,- até 450/451,Rua Prefeito Tonico de Barros,SP,[]
13472340,-23.6284032,-46.5889972,Jardim Nossa Senhora do Carmo,13472340,Americana,,Rua São Crispim,SP,[]
45604876,-14.8665902,-40.8552827,Parque Verde,45604876,Itabuna,,Rua A,BA,[]
52071270,,,Alto do Mandu,52071270,Recife,,Rua Dom José Pereira,PE,[]
85855040,-24.9516281,-50.1337759,Jardim Tropical,85855040,Foz do Iguaçu,,Rua Carnaúba,PR,[]
84267110,-24.3103437,-50.6417481,Parque Limeira Área II,84267110,Telêmaco Borba,,Rua Rio do Ouro,PR,[]
91250260,-30.0480125,-51.1303978,Rubem Berta,91250260,Porto Alegre,(Vl Batista Flores),Rua Seis,RS,[]
69030210,-3.0073756,-60.0252236,São Jorge,69030210,Manaus,,Rua São Francisco,AM,[]
67020000,-1.3645778,-48.2833974,Águas Lindas,67020000,Ananindeua,"- do km 4,500 ao km 7,498 - lado par",Rodovia BR-316,PA,[]
60763832,-3.8120023,-38.5876886,Novo Mondubim,60763832,Fortaleza,- até 734/735,Rua Bento Gonçalves,CE,[]
29045064,-20.2878861,-40.3063054,Andorinhas,29045064,Vitória,,Rua Marinalva de Jesus Lima,ES,[]
68908300,0.0591493,-51.0552984,Pacoval,68908300,Macapá,,Avenida Alagoas,AP,[]
82540140,-25.3940529,-49.2502335,Boa Vista,82540140,Curitiba,- até 1014/1015,Rua dos Dominicanos,PR,[]
60347550,-3.778141,-38.5052221,Vila Velha,60347550,Fortaleza,(Cj Polar),Rua 9,CE,[]
18300400,-24.5106574,-50.4135041,Centro,18300400,Capão Bonito,,Rua Coronel Frederico Martins,SP,[]
18207180,-23.6041513,-48.0561713,Central Parque 4-L,18207180,Itapetininga,,Rua Elesbão Branco da Silva,SP,[]
75450000,,,,75450000,Itauçu,,,GO,[]
14887110,-22.2238347,-49.937014,Nova Jaboticabal,14887110,Jaboticabal,- de 721/722 ao fim,Rua Marrey Júnior,SP,[]
09133120,-23.739437,-46.4913929,Parque Miami,09133120,Santo André,,Rua Rio Oiapoque,SP,[]
37559000,,,,,,,,,[]
08150640,-22.8367379,-43.0467137,Jardim Nazareth,08150640,São Paulo,,Travessa 26 de Outubro,SP,[]
68020660,-2.4491726,-54.7004739,São José Operário,68020660,Santarém,,Rua Buenos Aires,PA,[]
23092001,-22.848411,-43.5440708,Campo Grande,23092001,Rio de Janeiro,- de 1821 a 4361 - lado ímpar,Estrada do Mendanha,RJ,[]
23565100,-22.889015,-43.7154794,Santa Cruz,23565100,Rio de Janeiro,,Estrada José Cid Fernandes,RJ,[]
44032372,-12.2251171,-38.969757,Campo Limpo,44032372,Feira de Santana,,Rua Cabo Frio,BA,[]
55020368,-7.9897207,-38.3082852,Salgado,55020368,Caruaru,,Travessa Quatro,PE,[]
81870015,-25.5272008,-49.2942452,Pinheirinho,81870015,Curitiba,,Rua João Antônio Culpi,PR,[]
50680130,-8.0329003,-34.931571,Iputinga,50680130,Recife,,Rua Leal de Barros,PE,[]
31515050,-19.8574073,-44.0140194,Venda Nova,31515050,Belo Horizonte,,Rua São Benedito,MG,[]
36205110,-21.224891,-43.7653739,São José,36205110,Barbacena,,Rua Doutor Oswaldo Fortini,MG,[]
14780670,-22.9416133,-47.1633548,Primavera,14780670,Barretos,(numeração com zero à esquerda) - até 913/0914,Rua 18,SP,[]
76804020,-8.7541002,-63.8887958,São Cristóvão,76804020,Porto Velho,- de 1607/1608 a 1870/1871,Rua Elias Gorayeb,RO,[]
04290030,-23.6127619,-46.6143929,Jardim da Saúde,04290030,São Paulo,,Rua Juvenal Galeno,SP,[]
07191180,-22.6413909,-50.4329923,Jardim Santa Bárbara,07191180,Guarulhos,,Rua Cornélio Procópio,SP,[]
06060260,-23.5546935,-46.7837821,Bela Vista,06060260,Osasco,,Rua Paschoal Rosa,SP,[]
25935000,,,,,,,,,[]
72547402,,,Santa Maria,72547402,Brasília,,QR 117 Conjunto B,DF,[]
29220000,,,Portal,29220000,Guarapari,,Rua Cajueiros,ES,[]
38412332,-18.9457511,-48.315421,Jardim das Palmeiras,38412332,Uberlândia,,Rua do Projetista,MG,[]
60545055,,,Bom Jardim,60545055,Fortaleza,- de 500/501 a 1399/1400,Rua Valdemar Paes,CE,[]
85802250,-24.9697025,-53.4652806,Neva,85802250,Cascavel,- de 1769/1770 ao fim,Rua Hyeda Baggio Mayer,PR,[]
74923570,-16.7676861,-49.232553,Jardim dos Buritis,74923570,Aparecida de Goiânia,,Avenida das Orquídeas,GO,[]
89225840,-26.2418995,-48.7997184,Aventureiro,89225840,Joinville,,Rua Harold Maul,SC,[]
49080380,-10.9183829,-37.0758079,América,49080380,Aracaju,,Rua Nova Paraíba,SE,[]
49042040,,,São Conrado,49042040,Aracaju,,Rua Antônio da Cruz Filho,SE,[]
09251130,-23.5934323,-46.6793485,Parque Oratório,09251130,Santo André,,Rua Nigéria,SP,[]
09020260,-23.6639706,-46.5259427,Vila Assunção,09020260,Santo André,- de 400/401 ao fim,Rua Coronel Abílio Soares,SP,[]
59123210,-5.746655,-35.2400273,Pajuçara,59123210,Natal,(Lot N República),Rua Lauro Bezerra,RN,[]
09111750,-23.0338965,-49.1592612,Cidade São Jorge,09111750,Santo André,,Rua Goiás,SP,[]
22753842,-22.9671209,-43.335389,Anil,22753842,Rio de Janeiro,- de 3892 a 4926 - lado par,Estrada de Jacarepaguá,RJ,[]
85855470,-25.5714244,-54.5811771,Parque Ouro Verde,85855470,Foz do Iguaçu,,Rua das Orcas,PR,[]
56502040,-7.4488243,-40.6597871,Santos Dumont,56502040,Arcoverde,(Lot São Cristovão),Rua Seis,PE,[]
89115000,,,,,,,,,[]
35032010,,,Lourdes,35032010,Governador Valadares,,Rua Aluízio Pereira Esteves,MG,[]
65073150,-9.3828242,-38.240749838508,Cohama,65073150,São Luís,,Condomínio Tropical,MA,[]
29090080,-20.2586858,-40.2720905,Jardim Camburi,29090080,Vitória,,Rua Domingos Póvoa Lemos,ES,[]
55640584,-9.3641724,-40.49546,Campos do Jordão,55640584,Gravatá,,Rua Asa Branca,PE,[]
69075000,-3.1213669,-59.9795988,Distrito Industrial I,69075000,Manaus,,Avenida Buriti,AM,[]
49040356,,,Inácio Barbosa,49040356,Aracaju,,Rua Emília Anchieta Santos,SE,[]
49055000,-10.9160992,-37.0585867,Cirurgia,49055000,Aracaju,- de 1055/1056 ao fim,Rua Estância,SE,[]
09121110,-23.6732116,-46.5058766,Vila Humaitá,09121110,Santo André,,Rua Horácio Hunti,SP,[]
60731748,,,Siqueira,60731748,Fortaleza,- de 556/557 ao fim,Rua Jardim Paroara,CE,[]
75912396,-16.3779789,-49.4801616,Jardim Floresta,75912396,Rio Verde,,Rua da Peroba,GO,[]
09080300,-23.4194482,-46.2977003,Jardim,09080300,Santo André,- até 1470 - lado par,Rua das Figueiras,SP,[]
69042070,-3.0779812,-60.0535435,Alvorada,69042070,Manaus,,Rua Cremona,AM,[]
23085260,-22.8932942,-43.5446009,Senador Vasconcelos,23085260,Rio de Janeiro,,Rua General Uchoa Cavalcanti,RJ,[]
12040859,-23.0258684,-45.5734941,Esplanada Independência,12040859,Taubaté,,Rua Capitão Bernardo Sanches Pimenta,SP,[]
29108010,-20.4285284,-40.3428222,Santa Inês,29108010,Vila Velha,,Rua São Francisco,ES,[]
89231630,,,Paranaguamirim,89231630,Joinville,,Rua General de Divisão de Euclides P Bueno,SC,[]
91530480,-30.0705911,-51.1522405,Partenon,91530480,Porto Alegre,,Rua Encantadora,RS,[]
83210000,-25.5391631,-48.5521971,Jardim Iguaçu,83210000,Paranaguá,,Rua Áurea Pereira Martins,PR,[]
89665970,,,Centro,89665970,Capinzal,,Rua Wanda Meyer 25 Sala 1,SC,[]
69029060,-3.116007,-60.0416185,Santo Antônio,69029060,Manaus,,Rua Lauro Bittencourt,AM,[]
21550440,-22.8590687,-43.3567604,Bento Ribeiro,21550440,Rio de Janeiro,,Rua Camoropim,RJ,[]
16013020,-23.6310666,-46.58168,Umuarama,16013020,Araçatuba,- até 1258/1259,Rua Humberto de Campos,SP,[]
29157400,-21.0238054,-41.1575943,Nova Rosa da Penha,29157400,Cariacica,,Rodovia Governador Mário Covas,ES,[]
05533000,-23.5924122,-46.7406107,Instituto de Previdência,05533000,São Paulo,,Avenida Eliseu de Almeida,SP,[]
18108222,-20.1800872,-46.3858138,Brigadeiro Tobias,18108222,Sorocaba,,Estrada dos Leites,SP,[]
26250305,-22.8959474,-43.2746343,Caonze,26250305,Nova Iguaçu,- de 380/381 ao fim (trecho anterior pertence a(o) Mesquita),Rua Rio Grande do Sul,RJ,[]
13211534,,,Chácara Malota,13211534,Jundiaí,,Rua Horácio Soares de Oliveira,SP,[]
13088038,,,Vila Nogueira,13088038,Campinas,,Rua Thomás Alberto Whately,SP,[]
39400831,-19.9119235,-44.0353697,Jardim Brasil,39400831,Montes Claros,,Rua G,MG,[]
05388010,-23.5686062,-46.7617225,Vila Dalva,05388010,São Paulo,,Rua Urindeúva,SP,[]
13312005,-23.2561818,-47.318855,Jardim Oliveira,13312005,Itu,,Rua Pércio Teixeira de Carvalho,SP,[]
13401677,-22.7579489,-47.6571687,Monte Líbano,13401677,Piracicaba,(Jardim das Flores),Rua João Duarte Novaes Filho,SP,[]
04727150,-23.6441437,-46.7131666,Vila Cruzeiro,04727150,São Paulo,,Rua Joaquim dos Reis,SP,[]
88111330,-27.5662055,-48.6225376,Jardim Cidade de Florianópolis,88111330,São José,,Rua Domingos Pedro Hermes,SC,[]
13140609,-23.0331592,-45.5778472,Jardim América,13140609,Paulínia,(Parque Residencial Jardim Europa),Rua Polônia,SP,[]
65030830,-2.5714706,-44.2314194,Fátima,65030830,São Luís,,Rua José Sarney,MA,[]
18077362,-23.4511387,-47.47621,Jardim do Carmo,18077362,Sorocaba,,Rua Juarez Ferreira,SP,[]
75105220,-16.3590193,-48.9347497,São Sebastião,75105220,Anápolis,,Rua Feres Aidar,GO,[]
79112350,-20.441144,-54.6524412,Vila Almeida,79112350,Campo Grande,,Rua Presidente Rodrigues Alves,MS,[]
69902750,-9.9444023,-67.8102918,Placas,69902750,Rio Branco,,Rua Gonçalves Dias,AC,[]
71742001,,,Park Way,71742001,Brasília,,SMPW Quadra 19 Conjunto 1,DF,[]
68700005,-1.1920197,-47.17889,Centro,68700005,Capanema,,Avenida Barão de Capanema,PA,[]
96081235,,,Areal,96081235,Pelotas,,Rua José Rodolfo da Paixão Madrid,RS,[]
69046380,-3.0621485,-60.0438022,Alvorada,69046380,Manaus,,Rua Tabira,AM,[]
