,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
69074570,Morro da Liberdade,69074570,Manaus,,Rua Henry Levy,AM,[]
69086110,São José Operário,69086110,Manaus,,Rua Rio Traina,AM,[]
69099029,Novo Aleixo,69099029,Manaus,,Rua Ibicaré,AM,[]
69050000,São Geraldo,69050000,Manaus,- de 1108/1109 a 2598/2599,Avenida Constantino Nery,AM,[]
69087682,Tancredo Neves,69087682,Manaus,,Rua Violeta Bayma,AM,[]
69049010,Da Paz,69049010,Manaus,,Rua Comandante Atlas Catanhede,AM,[]
69082422,Coroado,69082422,Manaus,,Rua Santa Maria,AM,[]
69046650,Alvorada,69046650,Manaus,,Rua Passé,AM,[]
69099630,Novo Aleixo,69099630,Manaus,,Rua Iraquara,AM,[]
69400970,Aparecida,69400970,Manacapuru,,Boulevard Pedro Rattes 347,AM,[]
69086635,São José Operário,69086635,Manaus,,Rua Rio dos Marmelos,AM,[]
69059050,Santa Etelvina,69059050,Manaus,,Rua Mariaé,AM,[]
69085630,São José Operário,69085630,Manaus,,Rua Heráclito,AM,[]
69038000,Lírio do Vale,69038000,Manaus,,Rua Canopus,AM,[]
69086412,Gilberto Mestrinho,69086412,Manaus,,Rua Ana Gimenez,AM,[]
69067001,Petrópolis,69067001,Manaus,,Rua Bem-te-vi,AM,[]
69067000,Petrópolis,69067000,Manaus,,Rua Bernardo Michiles,AM,[]
69090000,Cidade Nova,69090000,Manaus,- até 849/850,Avenida Noel Nutels,AM,[]
69027690,Glória,69027690,Manaus,,Rua Canaruã,AM,[]
69097720,Cidade Nova,69097720,Manaus,- de 1 a 637 - lado ímpar,Avenida Camapuã,AM,[]
69082070,Coroado,69082070,Manaus,,Rua 16 de Julho,AM,[]
69093163,Monte das Oliveiras,69093163,Manaus,,Rua Louro Tachi,AM,[]
69039125,Novo Israel,69039125,Manaus,,Avenida Torquato Tapajós,AM,[]
69230000,,69230000,Nova Olinda do Norte,,,AM,[]
69050001,Chapada,69050001,Manaus,- de 2600/2601 a 4500/4501,Avenida Constantino Nery,AM,[]
69151690,Santa Clara,69151690,Parintins,,Rua Eurípedes Prado,AM,[]
69033812,São Jorge,69033812,Manaus,,Rua da Pátria,AM,[]
69036550,Santo Agostinho,69036550,Manaus,,Rua Campina Grande,AM,[]
69037573,Nova Esperança,69037573,Manaus,,Rua Thomas Edson,AM,[]
69036580,Santo Agostinho,69036580,Manaus,,Rua Zenon,AM,[]
69055660,Parque 10 de Novembro,69055660,Manaus,,Rua Álvaro Braga,AM,[]
69087678,Tancredo Neves,69087678,Manaus,,Rua Alto Paraná,AM,[]
69067050,Petrópolis,69067050,Manaus,,Rua Menandro Tapajós,AM,[]
69073650,Betânia,69073650,Manaus,,Rua Doutor Vicente Reis,AM,[]
69020000,Praça 14 de Janeiro,69020000,Manaus,- de 633/634 ao fim,Avenida Tarumã,AM,[]
69029321,Santo Antônio,69029321,Manaus,,Beco Padre Francisco,AM,[]
69089150,Armando Mendes,69089150,Manaus,,Rua Igarapé Ipixuna,AM,[]
69090746,Cidade Nova,69090746,Manaus,,Rua Elton Mayo,AM,[]
69028071,Flores,69028071,Manaus,,Rua Acauã,AM,[]
69035000,Compensa,69035000,Manaus,,Rua Reginaldo Guimarães,AM,[]
69063091,São Francisco,69063091,Manaus,,Beco Epifânio Monteiro,AM,[]
69630000,,69630000,Benjamin Constant,,,AM,[]
69029300,Santo Antônio,69029300,Manaus,,Rua Menandro,AM,[]
69055000,Parque 10 de Novembro,69055000,Manaus,,Rua do Comércio,AM,[]
69088000,Jorge Teixeira,69088000,Manaus,- de 173/174 a 1051/1052,Avenida Brigadeiro Hilário Gurjão,AM,[]
69087131,Tancredo Neves,69087131,Manaus,,Rua Cassiterita,AM,[]
69400619,Liberdade,69400619,Manacapuru,- de 1411/1412 ao fim,Rua Gilberto Mestrinho,AM,[]
69086560,São José Operário,69086560,Manaus,,Rua dos Cordeiros,AM,[]
69033830,São Jorge,69033830,Manaus,,Rua da Saudade,AM,[]
69053160,Nossa Senhora das Graças,69053160,Manaus,,Rua Curitiba,AM,[]
69030730,Compensa,69030730,Manaus,,Conjunto Plácido de Castro,AM,[]
68270000,,68270000,Oriximiná,,,PA,[]
69021020,Tarumã,69021020,Manaus,,Travessa São Calixto,AM,[]
69038285,Lírio do Vale,69038285,Manaus,,Rua Lapão,AM,[]
69099311,Cidade de Deus,69099311,Manaus,,Rua Tiepolo,AM,[]
69077757,Japiim,69077757,Manaus,,Rua Professor Olimpyo Paiva,AM,[]
69085000,São José Operário,69085000,Manaus,,Avenida Autaz Mirim,AM,[]
69080000,Coroado,69080000,Manaus,,Rua Marquesa de Santos,AM,[]
69097500,Novo Aleixo,69097500,Manaus,,Rua Currais Novos,AM,[]
69094130,Cidade Nova,69094130,Manaus,,Rua Professor Sebastião Mestrinho,AM,[]
69073124,Crespo,69073124,Manaus,,Travessa Caldeu,AM,[]
69088501,Jorge Teixeira,69088501,Manaus,,Rua Miratinga,AM,[]
69084170,Zumbi dos Palmares,69084170,Manaus,,Rua Doutor Edson,AM,[]
69048381,Da Paz,69048381,Manaus,,Rua Flor-de-pluma,AM,[]
69005110,Centro,69005110,Manaus,,Rua Quintino Bocaiúva,AM,[]
69054723,Parque 10 de Novembro,69054723,Manaus,,Rua Alexandre Magno,AM,[]
69059070,Santa Etelvina,69059070,Manaus,,Rua Edimilton Teixeira,AM,[]
69041185,Tarumã,69041185,Manaus,,Rua Rainha Margarida,AM,[]
69280000,,69280000,Manicoré,,,AM,[]
69036723,Santo Agostinho,69036723,Manaus,,Rua Cefeu,AM,[]
69054754,Parque 10 de Novembro,69054754,Manaus,,Rua Dorothea Lange,AM,[]
69076460,Japiim,69076460,Manaus,,Rua José Coelho Leão,AM,[]
69087057,Tancredo Neves,69087057,Manaus,,Rua Joaquim Páscoa,AM,[]
69099113,Novo Aleixo,69099113,Manaus,,Rua Ibirataia,AM,[]
69093015,Colônia Santo Antônio,69093015,Manaus,,Rua Evaristo Faustino,AM,[]
69037000,Ponta Negra,69037000,Manaus,,Avenida Coronel Teixeira,AM,[]
69075323,Mauazinho,69075323,Manaus,,Rua 11,AM,[]
69040000,Dom Pedro I,69040000,Manaus,,Avenida Pedro Teixeira,AM,[]
69037810,Lírio do Vale,69037810,Manaus,,Rua Cajuarana,AM,[]
69099318,Cidade de Deus,69099318,Manaus,,Rua São Domingos Sávio,AM,[]
69890000,,69890000,Ipixuna,,,AM,[]
69043690,Alvorada,69043690,Manaus,,Rua Violeta Areosa,AM,[]
69085180,São José Operário,69085180,Manaus,,Rua Barreirinha,AM,[]
69010080,Centro,69010080,Manaus,,Rua 24 de Maio,AM,[]
69084390,Zumbi dos Palmares,69084390,Manaus,,Rua João Bosco Burnier,AM,[]
69070640,Colônia Oliveira Machado,69070640,Manaus,,Rua Adalberto Ferraz,AM,[]
68940000,,68940000,Mazagão,,,AP,[]
68909620,Boné Azul,68909620,Macapá,(Lot. Ipê),Rua Cumaru,AP,[]
68909835,Novo Horizonte,68909835,Macapá,- até 2349/2350,Avenida Zelia Cardoso de Melo,AP,[]
68909000,Jardim Felicidade,68909000,Macapá,,Rua Vereador Julio Maria Pinto Pereira,AP,[]
68903384,Jardim Marco Zero,68903384,Macapá,(Coj. Habitacinal da Ego),Avenida Júpiter,AP,[]
68908570,São Lázaro,68908570,Macapá,,Avenida Anete Gomes da Silva,AP,[]
68906120,Cabralzinho,68906120,Macapá,(Loteamento Parque Novo Mundo),Rua Miguel Rodrigues Bittencourt,AP,[]
68900030,Central,68900030,Macapá,- até 2404/2405,Avenida Padre Júlio Maria Lombaerd,AP,[]
68902350,Muca,68902350,Macapá,,Avenida José Mauro S. do Nascimento,AP,[]
68909035,Jardim Felicidade,68909035,Macapá,- de 2600/2601 ao fim,Avenida Antônio Carlos Reis,AP,[]
68909600,Boné Azul,68909600,Macapá,(Lot. Mestre O. Santos),Alameda Minha Cidade,AP,[]
