,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
74430370,Rodoviário,74430370,Goiânia,,Rua Nossa Senhora da Conceição,GO,[]
74550070,Setor Centro Oeste,74550070,Goiânia,,Rua Doutor Inácio Zacarias Pereira,GO,[]
75064500,Vila Jayara,75064500,Anápolis,,Rua Tocantins,GO,[]
75106881,Residencial Tangará,75106881,Anápolis,,Rua das Seringueiras,GO,[]
74330280,Jardim Europa,74330280,Goiânia,,Rua Dublim,GO,[]
74934260,Cardoso Continuação,74934260,Aparecida de Goiânia,,Rua 36,GO,[]
75064780,Vila Jayara,75064780,Anápolis,- até 1999 - lado ímpar,Avenida Fernando Costa,GO,[]
75828000,,75828000,Chapadão do Céu,,,GO,[]
65047640,Santo Antônio,65047640,São Luís,,Estrada da Vitória,MA,[]
65910130,Vila Lobão,65910130,Imperatriz,,Rua São José,MA,[]
65055800,São Bernardo,65055800,São Luís,,Rua do Norte,MA,[]
65054250,Cohatrac II,65054250,São Luís,,Rua Dezenove,MA,[]
65061280,Bequimão,65061280,São Luís,,Rua Três,MA,[]
65148000,,65148000,Axixá,,,MA,[]
65090650,Vila Sarney,65090650,São Luís,,Rua do Fio,MA,[]
65026000,Lira,65026000,São Luís,,Rua Tobias Barreto,MA,[]
65035400,Liberdade,65035400,São Luís,,Rua Padre Manoel de Jesus,MA,[]
65939000,,65939000,Itinga do Maranhão,,,MA,[]
65755000,,65755000,Joselândia,,,MA,[]
65036190,Alemanha,65036190,São Luís,,Rua Doutor José Murta,MA,[]
65525000,,65525000,Anapurus,,,MA,[]
65368000,,65368000,Araguanã,,,MA,[]
65398000,,65398000,Alto Alegre do Pindaré,,,MA,[]
65045850,Vila Lobão,65045850,São Luís,,Rua do Fio,MA,[]
65712000,,65712000,Lago dos Rodrigues,,,MA,[]
65030650,Monte Castelo,65030650,São Luís,,Rua Genésio Rego,MA,[]
65274000,,65274000,Nova Olinda do Maranhão,,,MA,[]
65905040,Bom Sucesso,65905040,Imperatriz,,Rua Vitor Pereira,MA,[]
65058289,Jardim América,65058289,São Luís,,Rua 03,MA,[]
65900410,Centro,65900410,Imperatriz,,Rua Urbano Santos,MA,[]
65225000,,65225000,São João Batista,,,MA,[]
65036170,Monte Castelo,65036170,São Luís,,Rua Ramon Afonso,MA,[]
65907190,Nova Imperatriz,65907190,Imperatriz,,Rua Simplício Moreira,MA,[]
65036070,Apeadouro,65036070,São Luís,,Rua Astolfo Marques,MA,[]
65901470,Centro,65901470,Imperatriz,,Rua Aquiles Lisboa,MA,[]
65213000,,65213000,Penalva,,,MA,[]
65930970,Centro,65930970,Açailândia,,Rua Bom Jesus 307,MA,[]
65150000,,65150000,Rosário,,,MA,[]
65760000,,65760000,Presidente Dutra,,,MA,[]
65040150,João Paulo,65040150,São Luís,,Rua Agostinho Torres,MA,[]
65046611,Santo Antônio,65046611,São Luís,,Rua Miritiba,MA,[]
65500000,,65500000,Chapadinha,,,MA,[]
77950000,,77950000,Araguatins,,,TO,[]
65275000,,65275000,Apicum-Açu,,,MA,[]
65690000,,65690000,Colinas,,,MA,[]
65901330,Três Poderes,65901330,Imperatriz,,Rua Bahia,MA,[]
65067645,Turu,65067645,São Luís,,Residencial Canudos,MA,[]
65060400,Aurora,65060400,São Luís,,Rua Nova Aurora,MA,[]
65074530,Vinhais,65074530,São Luís,,Rua Sessenta e Nove,MA,[]
65916330,Parque Buriti,65916330,Imperatriz,,Rua Três,MA,[]
65066140,Parque Atlântico,65066140,São Luís,,Rua dos Tucanos,MA,[]
65775000,,65775000,Gonçalves Dias,,,MA,[]
65044480,Coroadinho,65044480,São Luís,,Rua Padre Madureira,MA,[]
65049260,Pirapora,65049260,São Luís,,Rua Dois,MA,[]
65064340,Aurora,65064340,São Luís,,Rua Feliciano Ribeiro,MA,[]
65210000,,65210000,Cajari,,,MA,[]
65900900,Beira Rio,65900900,Imperatriz,,Rua Quinze de Novembro 363,MA,[]
65545000,,65545000,Milagres do Maranhão,,,MA,[]
65055346,Jardim São Cristóvão II,65055346,São Luís,,Rua Vinte e Sete,MA,[]
65901120,União,65901120,Imperatriz,,Rua Tamandaré,MA,[]
65418000,,65418000,Peritoró,,,MA,[]
65901430,Centro,65901430,Imperatriz,,Rua Luís Domingues,MA,[]
65268000,,65268000,Cururupu,,,MA,[]
65011000,Centro,65011000,São Luís,,Travessa do Rancho,MA,[]
65046290,Vila Palmeira,65046290,São Luís,,Rua Primeiro de Maio,MA,[]
65299000,,65299000,Centro Novo do Maranhão,,,MA,[]
65910821,Jardim Tropical,65910821,Imperatriz,,Rua F-6,MA,[]
65930971,Centro,65930971,Açailândia,,Rua Duque de Caxias 925,MA,[]
65064030,Aurora,65064030,São Luís,,Recanto Planalto,MA,[]
65063760,Cruzeiro do Anil,65063760,São Luís,,Rua Tadeu Palácio,MA,[]
65036000,Vila Ivar Saldanha,65036000,São Luís,,Rua Renato Viana,MA,[]
65903000,Três Poderes,65903000,Imperatriz,,Rua Sergipe,MA,[]
65900050,Beira Rio,65900050,Imperatriz,,Rua Quinze de Novembro,MA,[]
65578000,,65578000,Água Doce do Maranhão,,,MA,[]
65718000,,65718000,Lagoa Grande do Maranhão,,,MA,[]
65940000,,65940000,Grajaú,,,MA,[]
65910550,Vila Redenção,65910550,Imperatriz,,Rua Marechal Hermes da Fonseca,MA,[]
65020400,Camboa,65020400,São Luís,,1ª Travessa Nova,MA,[]
65060190,Aurora,65060190,São Luís,,Rua Frei Hermenegildo,MA,[]
65770000,,65770000,Governador Archer,,,MA,[]
65061420,Maranhão Novo,65061420,São Luís,,Rua I,MA,[]
65930972,Centro,65930972,Açailândia,,Rua Bom Jesus 307,MA,[]
65860000,,65860000,Sucupira do Norte,,,MA,[]
65042220,Coroado,65042220,São Luís,,Rua Estanho,MA,[]
77925000,,77925000,São Miguel do Tocantins,,,TO,[]
65206000,,65206000,Pedro do Rosário,,,MA,[]
65040760,Parque Pindorama,65040760,São Luís,,Avenida Joaquim Mochel,MA,[]
65218000,,65218000,Matinha,,,MA,[]
65900510,Juçara,65900510,Imperatriz,,Rua Paraíba,MA,[]
65345000,,65345000,Igarapé do Meio,,,MA,[]
65055330,Jardim São Cristóvão,65055330,São Luís,,Rua Marechal Hermes,MA,[]
65450000,,65450000,Nina Rodrigues,,,MA,[]
65081251,Vila Embratel,65081251,São Luís,,Rua Embratel,MA,[]
65928970,Centro,65928970,Governador Edison Lobão,,Rua Santa Rita 817,MA,[]
65050862,Planalto Anil II,65050862,São Luís,,Rua D,MA,[]
65900310,Centro,65900310,Imperatriz,,Alameda Jango Figueiredo,MA,[]
65045360,Vila Palmeira,65045360,São Luís,,Rua Doutor Israel,MA,[]
65267970,Centro,65267970,Central do Maranhão,,Avenida Governador Antônio Dino s/n,MA,[]
65066320,Turu,65066320,São Luís,,Rua General Artur Carvalho,MA,[]
65420000,,65420000,Timbiras,,,MA,[]
65048790,Vera Cruz,65048790,São Luís,,Avenida Vera Cruz,MA,[]
65095353,Tibirizinho,65095353,São Luís,(Vl Cruzado),Rua da Amizade,MA,[]
65284000,,65284000,Governador Nunes Freire,,,MA,[]
65900150,Centro,65900150,Imperatriz,,Rua Benjamin Constant,MA,[]
65335000,,65335000,Bela Vista do Maranhão,,,MA,[]
65728000,,65728000,Lima Campos,,,MA,[]
65255000,,65255000,Guimarães,,,MA,[]
65067180,Jardim Eldorado,65067180,São Luís,,Rua Antônio Sousa,MA,[]
65030200,Bom Milagre,65030200,São Luís,,Rua Bom Milagre,MA,[]
65267000,,65267000,Central do Maranhão,,,MA,[]
65092207,Quebra Pote,65092207,São Luís,(Vila Cassaco),Rua Principal,MA,[]
65888000,,65888000,São Domingos do Azeitão,,,MA,[]
65095300,Tibiri,65095300,São Luís,,Rua Principal,MA,[]
65550000,,65550000,São Bernardo,,,MA,[]
65066659,Turu,65066659,São Luís,,Avenida Bahia,MA,[]
65085420,Anjo da Guarda,65085420,São Luís,,Rua João Castelo,MA,[]
65056530,Vila Brasil,65056530,São Luís,,Rua Seis,MA,[]
65705000,,65705000,Lago Verde,,,MA,[]
65430000,,65430000,Vargem Grande,,,MA,[]
65900001,Centro,65900001,Imperatriz,,Rua Quinze de Novembro,MA,[]
65943000,,65943000,Formosa da Serra Negra,,,MA,[]
65055120,Tirirical,65055120,São Luís,,Rua do Codozinho,MA,[]
65020010,Centro,65020010,São Luís,,Rua da Alegria,MA,[]
65020450,Centro,65020450,São Luís,,Rua da Paz,MA,[]
65840000,,65840000,São Raimundo das Mangabeiras,,,MA,[]
65295000,,65295000,Carutapera,,,MA,[]
65085225,Anjo da Guarda,65085225,São Luís,,Rua Nova Zelândia,MA,[]
65928971,Centro,65928971,Governador Edison Lobão,,Rua Itamaraty 44,MA,[]
65025433,Lira,65025433,São Luís,,3ª Travessa Frei Sampaio,MA,[]
65430970,Centro,65430970,Vargem Grande,,Rua Doutor Nina Rodrigues 149,MA,[]
65450970,Centro,65450970,Nina Rodrigues,,Rua 13 de Dezembro s/n,MA,[]
65939970,Centro,65939970,Itinga do Maranhão,,Rua Duque de Caxias 864,MA,[]
65700970,Centro,65700970,Bacabal,,Avenida Barão do Rio Branco 25,MA,[]
65200970,Centro,65200970,Pinheiro,,Rua Albino Paiva 489,MA,[]
65292000,,65292000,Boa Vista do Gurupi,,,MA,[]
65700971,Centro,65700971,Bacabal,,Avenida Barão do Rio Branco 25,MA,[]
65716000,,65716000,Paulo Ramos,,,MA,[]
65800970,Centro,65800970,Balsas,,Avenida João Pessoa 43,MA,[]
65765000,,65765000,Dom Pedro,,,MA,[]
65030330,Vila Passos,65030330,São Luís,,Rua Conde D'Eu,MA,[]
65057841,Vila Airton Senna,65057841,São Luís,,Rua Nossa Senhora de Santana,MA,[]
65062190,Bequimão,65062190,São Luís,,Avenida Um,MA,[]
65420970,Centro,65420970,Timbiras,,Praça Benedito Alvim 300,MA,[]
65921000,,65921000,Cidelândia,,,MA,[]
65065310,Olho D'Água,65065310,São Luís,,Conjunto Jardim Paulista,MA,[]
65285000,,65285000,Godofredo Viana,,,MA,[]
65922000,,65922000,João Lisboa,,,MA,[]
65350000,,65350000,Vitória do Mearim,,,MA,[]
65068585,Vila Luizão,65068585,São Luís,,Avenida Mar e Sol,MA,[]
65052852,Residencial Primavera,65052852,São Luís,,Rua Seis,MA,[]
65885000,,65885000,Benedito Leite,,,MA,[]
65916090,Bacuri,65916090,Imperatriz,,Rua Castelo Branco,MA,[]
65075160,Jardim Renascença,65075160,São Luís,,Rua das Gaivotas,MA,[]
65080000,Vila Isabel (Anjo da Guarda),65080000,São Luís,,Rua Senador Pompeu,MA,[]
65278000,,65278000,Turiaçu,,,MA,[]
65140000,,65140000,Presidente Juscelino,,,MA,[]
65470000,,65470000,São Mateus do Maranhão,,,MA,[]
65907020,Nova Imperatriz,65907020,Imperatriz,,Rua São Paulo,MA,[]
65968000,,65968000,Campestre do Maranhão,,,MA,[]
65058533,Cidade Olímpica,65058533,São Luís,,Rua Quinze,MA,[]
65380000,,65380000,Bom Jardim,,,MA,[]
65045760,Outeiro da Cruz,65045760,São Luís,(Cj La Ravardiere),Rua Dois,MA,[]
65245970,Centro,65245970,Peri Mirim,,Rua Desembargador Pereira Júnior s/n,MA,[]
65046168,Anil,65046168,São Luís,,Rua Um,MA,[]
65090000,Vila Itamar,65090000,São Luís,"- do km 1,100 ao km 2,500",Avenida Engenheiro Emiliano Macieira,MA,[]
65058153,Cidade Operária,65058153,São Luís,(Unidade 205),Rua 205,MA,[]
65938000,,65938000,Ribamar Fiquene,,,MA,[]
65915565,Vilinha,65915565,Imperatriz,,Rua Sousa Lima,MA,[]
65020660,Centro,65020660,São Luís,,Rua Viana Vaz,MA,[]
65055626,Jardim São Cristóvão,65055626,São Luís,,2ª Travessa São Luís,MA,[]
65585000,,65585000,Paulino Neves,,,MA,[]
65090772,Maracanã,65090772,São Luís,(Vl Industrial),Rua Tancredo Neves,MA,[]
65075001,Jardim Renascença,65075001,São Luís,,Rua das Alamandas,MA,[]
65265000,,65265000,Mirinzal,,,MA,[]
65065687,IPEM Turu,65065687,São Luís,,Rua Sete,MA,[]
65230000,,65230000,Cajapió,,,MA,[]
65062330,Bequimão,65062330,São Luís,,Rua Trinta e Sete,MA,[]
65081810,Residencial Paraíso,65081810,São Luís,,Rua Carnaúba,MA,[]
83848000,,83848000,Lagoa Verde (Quitandinha),,,PR,[]
65916170,Bacuri,65916170,Imperatriz,,Rua Oswaldo Cruz,MA,[]
65095810,Tibirizinho,65095810,São Luís,,Rua da Pedreira,MA,[]
65900010,Centro,65900010,Imperatriz,,Rua Coronel Manoel Bandeira,MA,[]
65903050,Maranhão Novo,65903050,Imperatriz,,Rua Mato Grosso,MA,[]
65936000,,65936000,Montes Altos,,,MA,[]
65906130,Imigrantes,65906130,Imperatriz,,Rua dos Protestantes,MA,[]
65907050,Nova Imperatriz,65907050,Imperatriz,,Rua São Francisco,MA,[]
65047820,Santa Cruz,65047820,São Luís,,Rua da Floresta,MA,[]
69306555,Canarinho,69306555,Boa Vista,,Alameda 13 de Maio,RR,[]
77925970,Setor Central,77925970,São Miguel do Tocantins,,Avenida Santos Dumont 388,TO,[]
65095900,Tibiri,65095900,São Luís,,Avenida Engenheiro Emiliano Macieira s/n Quilômetro 3,MA,[]
65925000,,65925000,Sítio Novo,,,MA,[]
65085800,Anjo da Guarda,65085800,São Luís,,Praça do Mercado,MA,[]
65095820,Tibirizinho,65095820,São Luís,,Rua Principal,MA,[]
65720000,,65720000,Igarapé Grande,,,MA,[]
65030340,Fátima,65030340,São Luís,,Rua do Correio,MA,[]
65040893,Vila dos Frades,65040893,São Luís,,3ª Travessa Tancredo Neves,MA,[]
65056572,Vila Brasil,65056572,São Luís,,1ª Travessa Tiradentes,MA,[]
65060680,Cruzeiro do Anil,65060680,São Luís,,Rua São Pedro,MA,[]
65066323,Turu,65066323,São Luís,,Rua Projetada S N,MA,[]
65090824,Maracanã,65090824,São Luís,(Alegria),Rua Santo Antonio,MA,[]
65160000,,65160000,Morros,,,MA,[]
65056300,São Bernardo,65056300,São Luís,,Avenida Tiradentes,MA,[]
65090826,Maracanã,65090826,São Luís,(Alegria),Rua São Raimundo,MA,[]
65026140,Goiabal,65026140,São Luís,,Travessa Santo Antônio,MA,[]
65054450,Cohatrac IV,65054450,São Luís,,Rua Treze,MA,[]
65068067,Divinéia,65068067,São Luís,,Rua Peru,MA,[]
65924000,,65924000,Vila Nova dos Martírios,,,MA,[]
65693000,,65693000,Jatobá,,,MA,[]
65090828,Maracanã,65090828,São Luís,(Alegria),Rua São Pedro,MA,[]
65061031,Ipase,65061031,São Luís,,Avenida Manoel Bandeira,MA,[]
65975000,,65975000,Estreito,,,MA,[]
65916130,Bacuri,65916130,Imperatriz,,Rua Sete de Setembro,MA,[]
65063410,Novo Angelim,65063410,São Luís,,Rua Rio Branco,MA,[]
65067197,Cohama,65067197,São Luís,,Rua Aririzal,MA,[]
65073740,Vila Vicente Fialho,65073740,São Luís,,Travessa Santa Isabel,MA,[]
65061470,Bequimão,65061470,São Luís,,Alameda Um,MA,[]
65090840,Maracanã,65090840,São Luís,(Alto Bonito),Rua Dois,MA,[]
65036630,Caratatiua,65036630,São Luís,,Rua Santa Rosa,MA,[]
65081567,Vila Embratel,65081567,São Luís,(Res Oiteiro),Rua Pindaré Mirim,MA,[]
65090870,Maracanã,65090870,São Luís,,Rua Boa Esperança,MA,[]
65288000,,65288000,Centro do Guilherme,,,MA,[]
65093122,Vila Samara,65093122,São Luís,,Rua da Vitória,MA,[]
65076050,Jardim São Francisco,65076050,São Luís,,Rua dos Buritis,MA,[]
65570000,,65570000,Araioses,,,MA,[]
65870000,,65870000,Pastos Bons,,,MA,[]
65090820,Maracanã,65090820,São Luís,(Alegria),Rua Santa Maria,MA,[]
65036045,Vila Ivar Saldanha,65036045,São Luís,,Rua Heitor de Almeida,MA,[]
65057470,João de Deus,65057470,São Luís,,Avenida Tales Neto,MA,[]
65065600,Turu,65065600,São Luís,,Rua Três,MA,[]
65092674,Pedrinhas,65092674,São Luís,,Rua da Vitória,MA,[]
65067000,Conjunto Habitacional Turu,65067000,São Luís,,Rua Vinte e Um,MA,[]
65270000,,65270000,Bacuri,,,MA,[]
65060349,Cruzeiro do Anil,65060349,São Luís,(Vl Militar),Rua São Marcos,MA,[]
65054350,Cohatrac II,65054350,São Luís,,Rua Nove,MA,[]
65045420,Vila Palmeira,65045420,São Luís,,Rua dos Eucaliptos,MA,[]
65090874,Maracanã,65090874,São Luís,,Rua Professora Rosa Mochel,MA,[]
65056566,Vila Brasil,65056566,São Luís,,Rua Getúlio Vargas,MA,[]
65066635,Jardim Eldorado,65066635,São Luís,,Rua Deputado Raimundo Leal,MA,[]
65066040,Parque Atlântico,65066040,São Luís,,Rua Canários,MA,[]
65073520,Recanto Fialho,65073520,São Luís,,Rua das Letras,MA,[]
65025640,Madre Deus,65025640,São Luís,,Rua Múcio Teixeira,MA,[]
65058531,Cidade Olímpica,65058531,São Luís,,Rua Treze,MA,[]
65056578,Vila Brasil,65056578,São Luís,,Rua Primeiro de Março,MA,[]
65067190,Jardim Eldorado,65067190,São Luís,,Rua Aririzal,MA,[]
65086090,Anjo da Guarda,65086090,São Luís,,Travessa do Correio,MA,[]
65090062,Vila Itamar II,65090062,São Luís,,Rua Sete,MA,[]
65245000,,65245000,Peri Mirim,,,MA,[]
65065470,Turu,65065470,São Luís,,Avenida São Luís Rei de França,MA,[]
65081443,Vila Embratel,65081443,São Luís,(Res Resende),Rua Primavera,MA,[]
65066700,Conjunto Habitacional Turu,65066700,São Luís,,Avenida Três,MA,[]
65035160,Liberdade,65035160,São Luís,,Rua Epitácio Pessoa,MA,[]
65082545,Vila São Luís,65082545,São Luís,,Rua do Sol,MA,[]
65490970,Centro,65490970,Anajatuba,,Praça Sebastião Marinho de Paula 95,MA,[]
65080890,Vila Bacanga,65080890,São Luís,,Rua Bandeira Tribuzzi,MA,[]
65035590,Liberdade,65035590,São Luís,,Travessa Santa Isabel,MA,[]
65370971,Centro,65370971,Pindaré Mirim,,Rua Grande,MA,[]
65060480,Novo Angelim,65060480,São Luís,,Rua do Piquizeiro,MA,[]
65060641,Angelim,65060641,São Luís,,Avenida Jerônimo de Albuquerque Maranhão,MA,[]
65071385,Calhau,65071385,São Luís,,Condomínio Barramar I,MA,[]
65058826,Vila Janaína,65058826,São Luís,,Rua São Luís,MA,[]
65092580,Pedrinhas,65092580,São Luís,(Vl Natal),Rua da Vitória,MA,[]
65093214,Coqueiro,65093214,São Luís,,Rua do Porto,MA,[]
65042860,Bom Jesus,65042860,São Luís,,Rua Reforma Agrária,MA,[]
65072013,Quintas do Calhau,65072013,São Luís,,Rua Pedreiras,MA,[]
65901290,Mercadinho,65901290,Imperatriz,,Rua Paraíba,MA,[]
65058804,Vila Janaína,65058804,São Luís,,Rua Alegria,MA,[]
65935500,,65935500,Buritirana,,,MA,[]
65066844,Chácara Brasil,65066844,São Luís,,Avenida Mato Grosso,MA,[]
65066628,Turu,65066628,São Luís,(Vivendas da Cohama),Rua da Primavera,MA,[]
65910350,Vila Redenção,65910350,Imperatriz,,Rua Raimundo de Morais Barros,MA,[]
65066846,Chácara Brasil,65066846,São Luís,,Rua Mato Grosso,MA,[]
65035130,Liberdade,65035130,São Luís,,Rua Emílio de Menezes,MA,[]
65057632,Vila Cascavel,65057632,São Luís,,Rua Mauro Vale,MA,[]
65085070,Anjo da Guarda,65085070,São Luís,,Travessa Bom Jesus,MA,[]
65920000,,65920000,São Pedro da Água Branca,,,MA,[]
65055365,Jardim São Cristóvão II,65055365,São Luís,,Rua Quarenta e Cinco,MA,[]
65911510,Vila Cafeteira,65911510,Imperatriz,,Rua Carolina,MA,[]
65055210,Tirirical,65055210,São Luís,,Rua Flávio Bezerra,MA,[]
65071383,Calhau,65071383,São Luís,,Avenida Neiva Moreira,MA,[]
65068651,Vila Luizão,65068651,São Luís,,Rua do Cajueiro,MA,[]
65915563,Vilinha,65915563,Imperatriz,,Rua Boa Vista,MA,[]
65076240,São Francisco,65076240,São Luís,,Rua Pedro Neiva de Santana,MA,[]
65015330,Centro,65015330,São Luís,,Rua do Norte,MA,[]
65945000,,65945000,Arame,,,MA,[]
65289000,,65289000,Maracaçumé,,,MA,[]
65044360,Coroadinho,65044360,São Luís,,Travessa São Francisco,MA,[]
65604290,Nova Caxias,65604290,Caxias,,Rua Duque de Caxias,MA,[]
65026120,Lira,65026120,São Luís,,Rua Santo Agostinho,MA,[]
65050450,COHAB Anil I,65050450,São Luís,,Rua Carlos Nunes,MA,[]
65031080,Fátima,65031080,São Luís,,1ª Travessa Manoel Ribeiro,MA,[]
65054886,Chácara Itapiracó,65054886,São Luís,,Rua Oito,MA,[]
65918105,Vila Vitória,65918105,Imperatriz,,Rua Vinte e Um,MA,[]
65935000,,65935000,Senador La Rocque,,,MA,[]
65065180,Olho D'Água,65065180,São Luís,,Avenida dos Holandeses,MA,[]
65075839,Ponta do Farol,65075839,São Luís,,Rua Parnaíba,MA,[]
65030210,Vila Passos,65030210,São Luís,,Rua Boa Esperança,MA,[]
65031130,Retiro Natal,65031130,São Luís,,Rua Marly Sarney,MA,[]
65070210,Vila 25 de Maio,65070210,São Luís,,Rua Vinte e Cinco de Maio,MA,[]
65085104,Anjo da Guarda,65085104,São Luís,,Rua Holanda,MA,[]
35340000,,35340000,Bom Jesus do Galho,,,MG,[]
35700516,Manoa,35700516,Sete Lagoas,,Rua Tocantins,MG,[]
36052370,Grajaú,36052370,Juiz de Fora,,Rua Rosa Sffeir,MG,[]
31870400,Ouro Minas,31870400,Belo Horizonte,,Rua Nossa Senhora de Loreto,MG,[]
39404314,Independência,39404314,Montes Claros,- até 519/520,Rua Inglaterra,MG,[]
32671520,Jardim Brasília,32671520,Betim,,Rua Amélia Augusta Nascimento,MG,[]
30850070,Dom Bosco,30850070,Belo Horizonte,,Rua Ana Matos,MG,[]
38443008,Santa Terezinha,38443008,Araguari,,Rua Rio Grande do Sul,MG,[]
38701030,Rosário,38701030,Patos de Minas,,Rua Xavantes,MG,[]
38081120,Conjunto Frei Eugênio,38081120,Uberaba,,Rua José Abrão Facuri,MG,[]
35054300,Jardim do Trevo,35054300,Governador Valadares,,Rua Dezessete,MG,[]
37245000,,37245000,Carrancas,,,MG,[]
35010020,Centro,35010020,Governador Valadares,,Rua Arthur Bernardes,MG,[]
39401352,Morada do Parque,39401352,Montes Claros,,Avenida Olímpio Teixeira Guimarães,MG,[]
38401221,Presidente Roosevelt,38401221,Uberlândia,,Rua Aristides Magnino,MG,[]
37704079,Santa Lúcia,37704079,Poços de Caldas,,Rua Dona Lalá Amaral,MG,[]
31070340,Boa Vista,31070340,Belo Horizonte,,Rua Antônio Soares,MG,[]
36085460,Barbosa Lage,36085460,Juiz de Fora,,Rua Paraíso de Alcântara,MG,[]
39492000,,39492000,Pedras de Maria da Cruz,,,MG,[]
37490000,,37490000,São Gonçalo do Sapucaí,,,MG,[]
36250000,,36250000,Oliveira Fortes,,,MG,[]
37300000,,37300000,Andrelândia,,,MG,[]
30692490,Itaipu (Barreiro),30692490,Belo Horizonte,,Rua da Aclimação,MG,[]
37464000,,37464000,Itanhandu,,,MG,[]
37704016,Jardim Nova Aparecida,37704016,Poços de Caldas,,Avenida Doutor Ubirajara Machado de Moraes,MG,[]
37903066,COHAB,37903066,Passos,,Avenida Poços de Caldas,MG,[]
35170071,Nossa Senhora da Penha,35170071,Coronel Fabriciano,,Rua Nove,MG,[]
30530430,João Pinheiro,30530430,Belo Horizonte,,Rua Bueno do Prado,MG,[]
35198000,,35198000,Ipaba,,,MG,[]
31520000,São João Batista (Venda Nova),31520000,Belo Horizonte,- até 459/460,Rua Érico Veríssimo,MG,[]
39402325,Antônio Pimenta,39402325,Montes Claros,,Rua Pedra Azul,MG,[]
35500481,Ponte Funda,35500481,Divinópolis,,Rua Domingos Aguiar,MG,[]
30644280,Teixeira Dias (Barreiro),30644280,Belo Horizonte,,Rua João de Mattos Silva,MG,[]
30510650,Cabana do Pai Tomás,30510650,Belo Horizonte,,Rua Professor Mata Machado,MG,[]
38440178,Centro,38440178,Araguari,,Rua Carolina Marques,MG,[]
38082377,Cidade Nova,38082377,Uberaba,,Rua Padre Isidoro Stenico,MG,[]
35051200,Kennedy,35051200,Governador Valadares,,Rua Esperança,MG,[]
32604620,Senhora das Graças,32604620,Betim,,Rua Maria José de Melo,MG,[]
33943750,Elizabeth (Justinópolis),33943750,Ribeirão das Neves,,Rua Áurea,MG,[]
35360000,,35360000,São Pedro dos Ferros,,,MG,[]
36052000,Grajaú,36052000,Juiz de Fora,,Rua Nossa Senhora do Líbano,MG,[]
38840000,,38840000,Carmo do Paranaíba,,,MG,[]
32900000,,32900000,Igarapé,,,MG,[]
31060350,Boa Vista,31060350,Belo Horizonte,,Rua Carlos Monte Verde,MG,[]
36030120,Cruzeiro do Sul,36030120,Juiz de Fora,- até 804/805,Rua Joaquim Vicente Guedes,MG,[]
30810170,Jardim Alvorada,30810170,Belo Horizonte,,Rua Flor de Abril,MG,[]
39400138,Todos os Santos,39400138,Montes Claros,,Rua Santa Bernadete,MG,[]
38400446,Martins,38400446,Uberlândia,- até 861/862,Rua Alexandre Marquez,MG,[]
36720000,,36720000,Volta Grande,,,MG,[]
30850430,Dom Bosco,30850430,Belo Horizonte,,Rua José Pereira,MG,[]
36309522,Vila Jardim São José,36309522,São João Del Rei,,Avenida Maria Alves Barbosa,MG,[]
32667386,Santa Cruz,32667386,Betim,- até 348/349,Rua Maria de Araújo,MG,[]
35184100,Cachoeira do Vale,35184100,Timóteo,,Rua São Tomaz,MG,[]
37485000,,37485000,Jesuânia,,,MG,[]
36047040,Bandeirantes,36047040,Juiz de Fora,- de 851/852 ao fim,Rua Paracatu,MG,[]
33026010,Córrego Frio,33026010,Santa Luzia,,Rua José João Pedro,MG,[]
35602000,,35602000,Engenho do Ribeiro (Bom Despacho),,,MG,[]
39703000,,39703000,Cantagalo,,,MG,[]
35180208,Olaria,35180208,Timóteo,,Rua Sessenta e Sete,MG,[]
32280540,Parque Riacho das Pedras 2ª Seção,32280540,Contagem,,Rua Rio Reno,MG,[]
30421458,Jardim América,30421458,Belo Horizonte,,Rua Guaratuba,MG,[]
31578430,Céu Azul,31578430,Belo Horizonte,,Rua Radialista Josué Policarpo,MG,[]
31170450,União,31170450,Belo Horizonte,,Rua Francisca Leão Correa,MG,[]
39400791,Vera Cruz,39400791,Montes Claros,,Rua José Caldeira de Oliveira,MG,[]
36061500,São Sebastião,36061500,Juiz de Fora,,Rua Moacir de Brito,MG,[]
34990000,,34990000,Nova União,,,MG,[]
30720320,Padre Eustáquio,30720320,Belo Horizonte,- de 611/612 a 1219/1220,Rua Progresso,MG,[]
38046736,Jardim Copacabana,38046736,Uberaba,,Rua Angra dos Reis,MG,[]
33936020,Luar da Pampulha (Justinópolis),33936020,Ribeirão das Neves,,Rua Nossa Senhora da Graças,MG,[]
31630120,Serra Verde (Venda Nova),31630120,Belo Horizonte,,Rua Augusto Ferreira dos Santos,MG,[]
38406043,Aclimação,38406043,Uberlândia,,Rua Cláudio Ferreira de Abreu,MG,[]
35350970,Centro,35350970,Raul Soares,,Rua Camilo de Moura 477,MG,[]
35675000,,35675000,Juatuba,,,MG,[]
39440000,,,,,,,[]
31360180,Santa Terezinha,31360180,Belo Horizonte,,Rua José Gomes,MG,[]
35200000,,35200000,Aimorés,,,MG,[]
38413267,Tancredo Neves,38413267,Uberlândia,,Rua Maria Abadia Mamede,MG,[]
38490000,,38490000,Indianópolis,,,MG,[]
30512370,Cabana do Pai Tomás,30512370,Belo Horizonte,,Beco JK,MG,[]
31310490,Ouro Preto,31310490,Belo Horizonte,,Avenida Fleming,MG,[]
